Time	Price (ETH/USD) – Ethereum
30.07.2015	1
31.07.2015	1
01.08.2015	1
02.08.2015	1
03.08.2015	1
04.08.2015	1
05.08.2015	1
06.08.2015	1
07.08.2015	1
08.08.2015	1.65
09.08.2015	1.4
10.08.2015	1.4
11.08.2015	0.66
12.08.2015	1.05
13.08.2015	1.3
14.08.2015	2.14
15.08.2015	1.625
16.08.2015	1.769999
17.08.2015	1.7699999
18.08.2015	1.565
19.08.2015	1.085
20.08.2015	1.25
21.08.2015	1.4410014
22.08.2015	1.3300006
23.08.2015	1.34
24.08.2015	1.3300208
25.08.2015	1.051
26.08.2015	1.1
27.08.2015	1.27
28.08.2015	1.1
29.08.2015	1.0600001
30.08.2015	1.23
31.08.2015	1.28
01.09.2015	1.1800001
02.09.2015	1.2600005
03.09.2015	1.26
04.09.2015	1.2194
05.09.2015	1.3733683
06.09.2015	1.161
07.09.2015	1.1620001
08.09.2015	1.3499999
09.09.2015	1.2999995
10.09.2015	1.200003
11.09.2015	1.2819997
12.09.2015	0.99
13.09.2015	1.0000017
14.09.2015	0.871
15.09.2015	1.0289971
16.09.2015	1.0199988
17.09.2015	0.8885184
18.09.2015	0.87
19.09.2015	0.959987
20.09.2015	0.95995283
21.09.2015	0.95995206
22.09.2015	0.8815
23.09.2015	0.935
24.09.2015	0.8875
25.09.2015	0.819
26.09.2015	0.6999999
27.09.2015	0.78
28.09.2015	0.7000055
29.09.2015	0.6499056
30.09.2015	0.59999996
01.10.2015	0.735
02.10.2015	0.71
03.10.2015	0.6429628
04.10.2015	0.68
05.10.2015	0.6477306
06.10.2015	0.6429387
07.10.2015	0.60006183
08.10.2015	0.6000743
09.10.2015	0.66999304
10.10.2015	0.67
11.10.2015	0.67
12.10.2015	0.6449989
13.10.2015	0.60002327
14.10.2015	0.6000232
15.10.2015	0.5399407
16.10.2015	0.532006
17.10.2015	0.521
18.10.2015	0.5129987
19.10.2015	0.5129908
20.10.2015	0.4711
21.10.2015	0.45109996
22.10.2015	0.42969143
23.10.2015	0.54999816
24.10.2015	0.46522045
25.10.2015	0.638986
26.10.2015	0.67000854
27.10.2015	0.7297457
28.10.2015	0.85
29.10.2015	0.77000004
30.10.2015	1.3199999
31.10.2015	1.0227265
01.11.2015	0.9383204
02.11.2015	1.0303929
03.11.2015	0.98990524
04.11.2015	0.99230355
05.11.2015	0.8912641
06.11.2015	0.91102964
07.11.2015	0.9
08.11.2015	0.9077477
09.11.2015	1.025
10.11.2015	1.0102493
11.11.2015	0.9507484
12.11.2015	0.77734196
13.11.2015	0.90000004
14.11.2015	0.89
15.11.2015	0.908
16.11.2015	0.91
17.11.2015	0.9333501
18.11.2015	1.0010098
19.11.2015	0.9809995
20.11.2015	0.975
21.11.2015	0.93
22.11.2015	0.97999984
23.11.2015	0.9594981
24.11.2015	0.96638894
25.11.2015	0.9016
26.11.2015	0.90999997
27.11.2015	0.8660622
28.11.2015	0.8657
29.11.2015	0.89815587
30.11.2015	0.8888957
01.12.2015	0.870001
02.12.2015	0.88132346
03.12.2015	0.84000003
04.12.2015	0.8465975
05.12.2015	0.83000004
06.12.2015	0.84764284
07.12.2015	0.84000003
08.12.2015	0.8046
09.12.2015	0.8
10.12.2015	0.7853
11.12.2015	0.84100014
12.12.2015	0.9
13.12.2015	0.93847823
14.12.2015	0.97749
15.12.2015	1
16.12.2015	0.99662375
17.12.2015	0.97613543
18.12.2015	0.9307421
19.12.2015	0.91
20.12.2015	0.92
21.12.2015	0.8942204
22.12.2015	0.8783808
23.12.2015	0.87732595
24.12.2015	0.84261394
25.12.2015	0.8555426
26.12.2015	0.89470404
27.12.2015	0.855
28.12.2015	0.8588087
29.12.2015	0.86125803
30.12.2015	0.89
31.12.2015	0.935113
01.01.2016	0.9145
02.01.2016	0.95699966
03.01.2016	0.9569946
04.01.2016	0.9604988
05.01.2016	0.93939126
06.01.2016	0.93978584
07.01.2016	0.9555
08.01.2016	0.95
09.01.2016	0.999235
10.01.2016	0.9743829
11.01.2016	0.9999999
12.01.2016	1.06
13.01.2016	1.1064508
14.01.2016	1.1038284
15.01.2016	1.1345934
